{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/77da69c3fc05e1fa.css 304 - - 3.407 ms, process_id:0, timestamp: 2024-09-03T19:28:58.535Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/fd9d1056-5e7ae3b4a37004d0.js 304 - - 4.880 ms, process_id:0, timestamp: 2024-09-03T19:28:58.537Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/69-54c0e3f4bb17ec20.js 304 - - 5.599 ms, process_id:0, timestamp: 2024-09-03T19:28:58.539Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/webpack-a79b55084825ca61.js 304 - - 7.057 ms, process_id:0, timestamp: 2024-09-03T19:28:58.541Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/main-app-a7b94c2bd73ec7a0.js 304 - - 3.825 ms, process_id:0, timestamp: 2024-09-03T19:28:58.544Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/210-0046ae15cbf1cc18.js 304 - - 3.205 ms, process_id:0, timestamp: 2024-09-03T19:28:58.546Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/page-71dd9e4fac7c5547.js 304 - - 4.899 ms, process_id:0, timestamp: 2024-09-03T19:28:58.548Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/678-3f90d081d5119afa.js 304 - - 5.913 ms, process_id:0, timestamp: 2024-09-03T19:28:58.549Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/layout-d76ce3c1451a1007.js 304 - - 7.580 ms, process_id:0, timestamp: 2024-09-03T19:28:58.551Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/Green.26974377.png 304 - - 2.007 ms, process_id:0, timestamp: 2024-09-03T19:28:58.553Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /RMUWizards/Employees 301 207 - 6.385 ms, process_id:0, timestamp: 2024-09-03T19:29:05.952Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /RMUWizards/Employees/ 200 8627 - 4.867 ms, process_id:0, timestamp: 2024-09-03T19:29:05.963Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/fdbfe6a5e66cd05f.css 304 - - 0.827 ms, process_id:0, timestamp: 2024-09-03T19:29:05.987Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/487438e31a80d454.css 304 - - 4.170 ms, process_id:0, timestamp: 2024-09-03T19:29:05.993Z}
